DOW,DOW_NBR_PRIMARY,FISHERIES_WATERBODY_ID,WATERSHED_MINOR_ID,DOW_SUB_BASIN_NBR_PRIMARY,LAKE_CLASS_ID_PRIMARY,LAKE_CLASS_ID_ALTERNATE,PLS_SECTION_ID_LAKE_CENTER,LAKE_NAME,ALT_LAKE_NAME,mean.gdd,area.hectares,LAKE_AREA_DOW_ACRES,LAKE_AREA_GIS_ACRES,LAKE_AREA_PLANIMETERED_ACRES,MAX_DEPTH_FEET,MEAN_DEPTH_FEET,PDIST_cum,SHORE_LENGTH_MILES,MAX_FETCH_MILES,littoral.zone,LITTORAL_AREA_ACRES,secchi.m,FETCH_ORIENTATION_DEGREES,LAKE_CENTER_LAT_DD5,LAKE_CENTER_LONG_DD5,LAKE_CENTER_UTM_EASTING,LAKE_CENTER_UTM_NORTHING
77006600,770066,3877,14038,0,39,NA,13103232,Thunder,NA,2582.734701,87.15317696,233,215.36,194,17,NA,0.133234201,2.85,0.91,1,194,1.524,315,46.11829,-94.74801,365007.1,5108605.5
77006700,770067,3892,10056,0,29,NA,13103233,Pine Island,Two Island,2517.08219,95.23070952,156,235.32,234,26,13,0.232596685,3.22,1,1,124,3.43,90,46.1157,-94.71298,367784.3,5108348.9
77007600,770076,3909,14028,0,39,NA,13203230,Fawn,NA,2419.993077,50.56956256,142,124.96,134,21,NA,0.140876946,1.84,0.71,1,116.55,3.6,360,46.21782,-94.75379,364741.7,5119862.2
77008400,770084,4060,16030,0,22,NA,12703230,Big Birch,NA,2569.86178,854.6442228,2025,2111.87,2108,81,28,0.505256953,15.26,2.83,0.3336385,642,1.92024,315,45.78042,-94.75248,363997.8,5070963.4
77008800,770088,3876,14038,0,28,NA,13103206,Turtle,NA,2546.482743,46.85454508,124,115.78,104,39,20,0.23416339,2.2,0.81,0.5997086,34,2.75,45,46.19249,-94.77008,363469.5,5116900.9
77008900,770089,4059,16031,0,22,NA,12703326,Little Birch,NA,2578.622384,339.7096158,793,839.44,838,89,NA,0.670001049,8.61,2.17,0.3962778,277,2.5325,22,45.77608,-94.80235,360670.3,5071321.7
77010500,770105,3919,14057,0,31,NA,12803305,Latimer,Laitimer,2616.373304,82.01366476,210,202.66,193,30.5,17.5,0.784051677,2.67,1.01,0.2211633,77,1.07,360,45.92116,-94.85052,356506.9,5086920.4
77012000,770120,3918,14057,0,23,28,12903329,Charlotte,NA,2542.140244,61.39895992,181,151.72,148,84,NA,0.7832194,2.19,0.91,0.5002501,38,4.13766,45,45.95248,-94.86282,355630.2,5090422.8
77012800,770128,3911,14060,0,34,NA,13103334,Horseshoe,NA,2481.655392,48.95891228,122,120.98,118,24,NA,0.789715886,2.56,0.61,1,84,3,225,46.11859,-94.83014,358597.3,5108917.9
77013800,770138,3920,14031,0,29,NA,13303309,Dower,NA,2469.168144,33.82365588,139,83.58,79,34,NA,0.388868854,1.78,0.61,0.8905342,47,3.3528,360,46.34988,-94.8524,357451.7,5134664.9
77014900,770149,17047,16034,0,31,NA,12703319,Long,NA,2556.113875,83.01728604,215,205.14,215,36,17,0.298143126,4.68,0.91,1,65,4.58724,315,45.79446,-94.88574,353239.4,5073139.9
77016000,770160,3903,16072,0,29,NA,12803435,Cedar,NA,2517.446315,56.11780762,149,138.67,158,28,14.9,0.480331263,2.02,0.81,1,95,5.45652,22,45.84638,-94.92646,350372.5,5078866.6
77018100,770181,3904,16066,0,31,NA,12803407,Maple,NA,2520.403909,157.1395738,621,388.3,367,23,16.6,0.632823317,3.64,1.41,0.4268017,150,1.5,45,45.90844,-95.00324,344674.5,5085735.6
77021500,770215,3811,16060,0,22,27,12803508,Osakis,NA,2502.881012,2585.680494,6768,6389.35,6270,73,20,0.732556801,26.77,8.1,0.5623102,3416,1.84,360,45.90895,-95.10646,335804.8,5085466.1
78002500,780025,2740,54044,0,41,NA,12604936,Traverse,NA,2872.283178,4390.155134,5780,10848.3,11528,12,9,0.889222394,46.29,14,0.45276505,5683.03,0.905,135,45.68774,-96.7506,207013.5,5066196.7
80003000,800030,4144,12022,0,31,NA,13803501,Lower Twin,South Twin,2342.149377,101.9444503,267,251.91,391,26,NA,0.251370193,2.64,0.88,0.7413962,175,1.98,22,46.79848,-95.03801,344445,5184769.3
80003400,800034,4219,12032,0,41,NA,13803510,Blueberry,NA,2503.700695,215.5114824,555,532.54,522,15,NA,0.269970506,5.71,1.9,0.560442,532.54,0.79,22,46.78748,-95.08711,340885.3,5183617.5
80003900,800039,2139,12036,0,29,NA,13803521,Spirit,NA,2514.65475,46.0937354,115,113.9,115,45,NA,0.407941082,1.75,1,0.84366595,65,3.77,45,46.74971,-95.10357,339377.3,5179480.6
81000300,810003,3464,32024,0,29,NA,10502213,St. Olaf,NA,2889.080938,36.9073632,85,91.2,99,33,NA,0.63971032,1.56,0.6,0.518126,51,1.5,292,43.90283,-93.4172,466518.7,4861188.1
81001401,810014,3429,39034,1,24,NA,10702209,Clear,NA,2893.454676,262.5481362,0,648.77,652,34,NA,0.655294799,4.39,1.36,0.2964463,448,0.825,NA,44.08615,-93.48416,461196.5,4881660.5
