max_depth_m,Parent_DOW.x,Parent_DOW.y,LAKE_AREA_MN_ACRES,LARGE_LAKE_FLAG,UTM_DATUM_ID,UTM_ZONE_ID
28.956,110296,110296,272.41,N,83,15
17.3736,110304,110304,894.02,N,83,15
24.384,110305,110305,9947.21,N,83,15
3.6576,110307,110307,514.89,N,83,15
25.6032,110311,110311,744.05,N,83,15
10.668,110313,110313,591.84,N,83,15
7.62,110350,110350,182.17,N,83,15
11.2776,110351,110351,250.65,N,83,15
9.7536,110353,110353,131.7,N,83,15
12.8016,110355,110355,186.73,N,83,15
15.5448,110358,110358,260.32,N,83,15
14.6304,110361,110361,220.31,N,83,15
8.2296,110367,110367,439.96,N,83,15
15.24,110371,110371,576.46,N,83,15
21.9456,110383,110383,1099.17,N,83,15
11.2776,110387,110387,226.04,N,83,15
7.9248,110394,110394,132.96,N,83,15
9.4488,110396,110396,76.97,N,83,15
33.528,110400,110400,141.97,N,83,15
24.384,110411,110411,1612.43,N,83,15
13.716,110412,110412,1267.19,N,83,15
63.3984,110413,110413,5080.41,N,83,15
28.956,110415,110415,4751.32,N,83,15
14.6304,110454,110454,142.49,N,83,15
25.6032,110476,110476,277.27,N,83,15
24.384,110480,110480,284.35,N,83,15
17.9832,110482,110482,143.35,N,83,15
15.24,110488,110488,554.52,N,83,15
19.812,110490,110490,360.65,N,83,15
17.9832,110493,110493,194.97,N,83,15
22.5552,110494,110494,564.9,N,83,15
5.1816,110500,110500,154.46,N,83,15
12.192,110502,110502,190.2,N,83,15
28.3464,110504,110504,1755.67,N,83,15
7.3152,110505,110505,527.96,N,83,15
9.144,130013,130013,193.18,N,83,15
33.2232,130027,130027,835.33,N,83,15
10.3632,130028,130028,454.68,N,83,15
6.4008,130031,130031,795.69,N,83,15
14.0208,130032,130032,749.26,N,83,15
7.0104,130033,130033,168.2,N,83,15
8.8392,130035,130035,141.85,N,83,15
14.3256,130053,130053,217.82,N,83,15
17.3736,130068,130068,318.82,N,83,15
7.3152,130069,130069,1480.53,N,83,15
12.8016,130069,130069,1578.65,N,83,15
16.1544,130073,130073,224.04,N,83,15
3.9624,140004,140004,248.48,N,83,15
6.7056,140030,140030,133.07,N,83,15
10.9728,140049,140049,126.97,N,83,15
11.8872,140100,140100,108.99,N,83,15
14.6304,150001,150001,235.22,N,83,15
24.384,150005,150005,159.24,N,83,15
28.3464,150010,150010,303.43,N,83,15
12.192,150016,150016,1065.15,N,83,15
13.716,150060,150060,95.24,N,83,15
19.2024,150068,150068,501.2,N,83,15
12.8016,150081,150081,94.61,N,83,15
23.1648,150090,150090,40.24,N,83,15
5.7912,150144,150144,95.48,N,83,15
4.572,150149,150149,1238.4,N,83,15
10.668,160019,160019,404.48,N,83,15
14.9352,160027,160027,385.77,N,83,15
12.192,160029,160029,404.88,N,83,15
34.1376,160077,160077,2042.66,N,83,15
15.24,160143,160143,1867.5,N,83,15
20.1168,160146,160146,593.29,N,83,15
22.86,160147,160147,330.13,N,83,15
8.2296,160156,160156,753.82,N,83,15
7.62,160182,160182,205.99,N,83,15
8.8392,160204,160204,141.24,N,83,15
21.6408,160227,160227,467.63,N,83,15
23.7744,160228,160228,493.01,N,83,15
22.2504,160239,160239,764,N,83,15
13.716,160252,160252,814.43,N,83,15
6.096,160253,160253,342.87,N,83,15
5.7912,160328,160328,125.02,N,83,15
5.1816,160346,160346,451.5,N,83,15
2.7432,160347,160347,262.44,N,83,15
5.4864,160355,160355,104.97,N,83,15
9.144,160360,160360,720.62,N,83,15
4.572,160384,160384,355.09,N,83,15
61.5696,160448,160448,1095.49,N,83,15
8.5344,160454,160454,755.48,N,83,15
5.9436,160639,160639,592.95,N,83,15
3.3528,160645,160645,368.94,N,83,15
2.4384,170003,170003,219.79,N,83,15
3.048,170007,170007,269.75,N,83,15
2.4384,170020,170020,105.41,N,83,15
3.048,170022,170022,154.97,N,83,15
3.6576,170054,170054,162.09,N,83,15
1.8288,170060,170060,873.05,N,83,15
12.8016,180018,180018,519.62,N,83,15
25.6032,180020,180020,1011.95,N,83,15
16.4592,180028,180028,480.64,N,83,15
22.5552,180034,180034,2319.88,N,83,15
16.4592,180038,180038,900.19,N,83,15
13.716,180044,180044,164.72,N,83,15
11.2776,180050,180050,286.83,N,83,15
7.0104,180088,180088,1663.42,N,83,15
19.812,180090,180090,1103.06,N,83,15
14.3256,180096,180096,795.38,N,83,15
12.8016,180104,180104,696.91,N,83,15
14.3256,180136,180136,1294.89,N,83,15
7.62,180145,180145,322.44,N,83,15
7.9248,180155,180155,378.45,N,83,15
11.2776,180183,180183,239.53,N,83,15
19.5072,180184,180184,239.99,N,83,15
10.3632,180185,180185,412.64,N,83,15
3.9624,180203,180203,720.73,N,83,15
11.8872,180212,180212,599.2,N,83,15
6.7056,180218,180218,117.16,N,83,15
8.2296,180225,180225,310.06,N,83,15
10.668,180226,180226,382.15,N,83,15
10.9728,180242,180242,874.44,N,83,15
8.2296,180243,180243,724.66,N,83,15
17.0688,180251,180251,922.03,N,83,15
5.15112,180261,180261,323.58,N,83,15
10.9728,180266,180266,329.86,N,83,15
23.1648,180269,180269,232.4,N,83,15
7.0104,180271,180271,258.27,N,83,15
6.096,180293,180293,296.13,N,83,15
23.7744,180294,180294,429.05,N,83,15
10.9728,180296,180296,349.78,N,83,15
16.764,180297,180297,449.42,N,83,15
19.812,180298,180298,240.88,N,83,15
22.86,180305,180305,2574.82,N,83,15
31.6992,180308,180308,8367.35,N,83,15
42.0624,180310,180310,7716.23,N,83,15
32.004,180311,180311,857.82,N,83,15
25.6032,180312,180312,1786.97,N,83,15
39.0144,180315,180315,1363.04,N,83,15
10.9728,180338,180338,437.05,N,83,15
10.3632,180351,180351,271.38,N,83,15
19.2024,180352,180352,690.75,N,83,15
17.0688,180354,180354,180.99,N,83,15
19.5072,180355,180355,336.87,N,83,15
13.4112,180356,180356,211.06,N,83,15
14.3256,180358,180358,121,N,83,15
25.2984,180359,180359,127.47,N,83,15
23.4696,180361,180361,189.78,N,83,15
19.2024,180364,180364,225.91,N,83,15
3.9624,180366,180366,296.37,N,83,15
12.192,180371,180371,274.61,N,83,15
29.5656,180372,180372,6144.05,N,83,15
15.5448,180373,180373,1650.11,N,83,15
9.4488,180374,180374,305.41,N,83,15
25.2984,180375,180375,1287.74,N,83,15
12.192,180376,180376,434.56,N,83,15
14.6304,180377,180377,396.65,N,83,15
30.48,180378,180378,693.1,N,83,15
8.2296,180379,180379,413.23,N,83,15
7.0104,180386,180386,515.03,N,83,15
8.2296,180388,180388,76.59,N,83,15
19.2024,180396,180396,156.45,N,83,15
12.192,180397,180397,63.93,N,83,15
7.9248,180398,180398,301.71,N,83,15
7.0104,180399,180399,220.19,N,83,15
11.8872,180403,180403,559.97,N,83,15
12.192,180404,180404,436.77,N,83,15
13.716,180407,180407,161.84,N,83,15
6.7056,180408,180408,162.19,N,83,15
12.8016,180412,180412,595.7,N,83,15
64.008,180523,180523,113.2,N,83,15
11.2776,190027,190027,288.63,N,83,15
10.0584,190031,190031,235.26,N,83,15
10.2108,190057,190057,29.89,N,83,15
16.764,190065,190065,37.71,N,83,15
3.3528,190079,190079,114.37,N,83,15
2.4384,190080,190080,101.76,N,83,15
9.144,210016,210016,666.33,N,83,15
13.716,210041,210041,107.31,N,83,15
13.1064,210049,210049,174.18,N,83,15
9.7536,210051,210051,152.12,N,83,15
19.2024,210052,210052,639.81,N,83,15
9.4488,210053,210053,137.46,N,83,15
18.288,210054,210054,416.81,N,83,15
7.9248,210055,210055,110.23,N,83,15
25.908,210056,210056,1800.95,N,83,15
49.6824,210057,210057,2605.11,N,83,15
17.9832,210073,210073,337.58,N,83,15
13.4112,210076,210076,639.26,N,83,15
23.7744,210079,210079,830.87,N,83,15
18.8976,210080,210080,1049.99,N,83,15
32.004,210083,210083,5724.28,N,83,15
25.2984,210085,210085,918.37,N,83,15
6.4008,210090,210090,218.04,N,83,15
12.192,210092,210092,2450.43,N,83,15
10.0584,210094,210094,214.46,N,83,15
12.8016,210095,210095,113.15,N,83,15
17.6784,210101,210101,86.76,N,83,15
13.4112,210102,210102,292.58,N,83,15
15.8496,210103,210103,242.54,N,83,15
9.4488,210105,210105,46.37,N,83,15
32.9184,210106,210106,752.55,N,83,15
37.4904,210108,210108,411.41,N,83,15
15.24,210111,210111,100.8,N,83,15
32.3088,210123,210123,4426.82,N,83,15
11.5824,210136,210136,98.96,N,83,15
12.192,210140,210140,263.44,N,83,15
28.956,210145,210145,1175.04,N,83,15
18.288,210150,210150,176.76,N,83,15
12.8016,210151,210151,307.37,N,83,15
19.812,210160,210160,442.07,N,83,15
5.4864,210162,210162,247.63,N,83,15
12.192,210180,210180,450.3,N,83,15
7.3152,210212,210212,269.35,N,83,15
10.668,210213,210213,233.62,N,83,15
14.0208,210216,210216,159.52,N,83,15
4.8768,210242,210242,610.3,N,83,15
9.7536,210245,210245,823.82,N,83,15
4.2672,210264,210264,376.02,N,83,15
6.7056,210291,210291,902.7,N,83,15
6.096,220074,220074,199.18,N,83,15
1.6764,240014,240014,2669.17,N,83,15
2.1336,240043,240043,21.07,N,83,15
6.4008,260002,260002,3760.62,N,83,15
6.7056,260020,260020,153.65,N,83,15
8.8392,260040,260040,206.59,N,83,15
3.9624,260046,260046,131.36,N,83,15
8.5344,260095,260095,529.63,N,83,15
7.0104,260097,260097,1815.67,N,83,15
26.5176,270016,270016,341.22,N,83,15
10.0584,270018,270018,52.93,N,83,15
10.0584,270019,270019,201.24,N,83,15
24.9936,270031,270031,419.41,N,83,15
7.62,270037,270037,39.88,N,83,15
15.5448,270039,270039,163.79,N,83,15
9.4488,270040,270040,111.76,N,83,15
8.5344,270047,270047,185.93,N,83,15
3.6576,270048,270048,87.93,N,83,15
13.716,270067,270067,177.62,N,83,15
5.7912,270070,270070,113.92,N,83,15
4.8768,270076,270076,96.91,N,83,15
4.8768,270078,270078,164.2,N,83,15
14.9352,270104,270104,925.24,N,83,15
11.2776,270107,270107,100.17,N,83,15
10.3632,270111,270111,287.21,N,83,15
17.3736,270117,270117,152.09,N,83,15
14.6304,270118,270118,237.73,N,83,15
26.5176,270137,270137,267.17,N,83,15
11.5824,270149,270149,81.88,N,83,15
10.0584,270160,270160,284.99,N,83,15
17.6784,270176,270176,832.02,N,83,15
13.716,270181,270181,172.72,N,83,15
6.7056,270184,270184,510.03,N,83,15
9.144,270192,270192,263.28,N,83,15
13.4112,270199,270199,36.69,N,83,15
10.3632,290002,290002,105.73,N,83,15
19.812,290003,290003,69.33,N,83,15
19.812,290025,290025,232.4,N,83,15
18.288,290032,290032,131.06,N,83,15
12.192,290045,290045,175.21,N,83,15
27.7368,290048,290048,464.36,N,83,15
9.7536,290061,290061,959.62,N,83,15
7.3152,290066,290066,543.1,N,83,15
12.8016,290071,290071,859.82,N,83,15
9.144,290072,290072,502.97,N,83,15
10.9728,290074,290074,51.7,N,83,15
40.5384,290075,290075,2433.39,N,83,15
10.668,290077,290077,643.4,N,83,15
3.048,290078,290078,440.63,N,83,15
10.668,290085,290085,221.44,N,83,15
4.572,290086,290086,522.02,N,83,15
6.4008,290087,290087,144.46,N,83,15
9.7536,290088,290088,225.21,N,83,15
2.7432,290090,290090,180.79,N,83,15
12.8016,290091,290091,260.62,N,83,15
10.668,290092,290092,400.12,N,83,15
12.192,290093,290093,339.58,N,83,15
9.7536,290098,290098,171.84,N,83,15
29.2608,290101,290101,379.05,N,83,15
10.0584,290101,290101,288.64,N,83,15
15.24,290101,290101,269.67,N,83,15
10.3632,290110,290110,130.64,N,83,15
22.2504,290127,290127,23.16,N,83,15
15.6972,290130,290130,35.8,N,83,15
5.9436,290131,290131,40.34,N,83,15
7.0104,290142,290142,326.41,N,83,15
7.3152,290143,290143,343.38,N,83,15
17.0688,290146,290146,1496.66,N,83,15
16.764,290148,290148,459.14,N,83,15
24.384,290150,290150,409.51,N,83,15
19.812,290156,290156,2530.81,N,83,15
3.6576,290157,290157,212.5,N,83,15
41.148,290161,290161,1926.11,N,83,15
8.5344,290162,290162,340.54,N,83,15
12.192,290170,290170,74.48,N,83,15
7.62,290172,290172,101.75,N,83,15
7.9248,290178,290178,310.29,N,83,15
33.528,290180,290180,641.17,N,83,15
25.6032,290184,290184,336.35,N,83,15
41.148,290185,290185,1635.08,N,83,15
15.24,290186,290186,78.43,N,83,15
16.4592,290188,290188,93.16,N,83,15
8.8392,290216,290216,825.72,N,83,15
19.2024,290237,290237,45.41,N,83,15
23.1648,290242,290242,1642.56,N,83,15
26.5176,290243,290243,2096.09,N,83,15
4.572,290247,290247,105.49,N,83,15
9.7536,290248,290248,61.37,N,83,15
5.1816,290250,290250,429.32,N,83,15
19.812,290254,290254,541.25,N,83,15
23.4696,290256,290256,423.53,N,83,15
13.716,290275,290275,38.54,N,83,15
21.0312,290277,290277,94.84,N,83,15
12.4968,290289,290289,53.82,N,83,15
64.9224,290309,290309,237.9,N,83,15
7.9248,290312,290312,101.96,N,83,15
16.4592,290313,290313,380.95,N,83,15
1.8288,300009,300009,298.16,N,83,15
10.9728,300022,300022,222.8,N,83,15
7.9248,300035,300035,135.21,N,83,15
10.0584,300043,300043,354.23,N,83,15
3.6576,300044,300044,145.93,N,83,15
4.572,300072,300072,381.58,N,83,15
2.1336,300080,300080,263.99,N,83,15
6.4008,300096,300096,214.17,N,83,15
15.6972,300135,300135,242.67,N,83,15
8.5344,300136,300136,832.88,N,83,15
13.1064,310003,310003,202.68,N,83,15
9.4488,310028,310028,216.11,N,83,15
7.62,310051,310051,361.28,N,83,15
8.8392,310058,310058,121.86,N,83,15
25.908,310084,310084,538.95,N,83,15
14.9352,310154,310154,288.37,N,83,15
4.8768,310157,310157,344.26,N,83,15
13.716,310158,310158,325.91,N,83,15
13.716,310160,310160,106.93,N,83,15
12.8016,310190,310190,238.76,N,83,15
12.192,310191,310191,140.78,N,83,15
18.288,310193,310193,464.83,N,83,15
4.572,310197,310197,243.32,N,83,15
